seed,reg_lambda,reg_alpha,mcs,train_ic,oos_ic,ic_gap,ic_gap_ratio,oos_ic_ir
0,1.5,1.0,50,0.2706344247949143,0.12161473030493353,0.14901969448998076,0.550630965010853,7.485505291254524
0,1.5,1.0,65,0.2664841663855005,0.12132885494209844,0.14515531144340205,0.5447052011090893,8.944683818828693
0,1.5,1.0,80,0.24760777115607446,0.12559754439845716,0.1220102267576173,0.49275604795420846,7.1037704710469045
0,1.5,1.5,30,0.2773142959104221,0.1183170024604582,0.1589972934499639,0.573346905639957,4.8661093914483216
0,1.5,1.5,50,0.26249787865792873,0.11819659621075071,0.14430128244717802,0.5497236137105042,6.409871815766268
0,1.5,1.5,65,0.26924191268060926,0.1263639734385007,0.14287793924210856,0.5306675243077732,8.23872364704471
0,1.5,1.5,80,0.2503968688879071,0.11998462160854599,0.13041224727936107,0.5208221966135749,6.995892103687944
0,2.0,0.2,30,0.2842495572902768,0.113305588717563,0.1709439685727138,0.6013869298594725,4.838386197052496
0,2.0,0.2,50,0.2621489782312215,0.1201665998434784,0.14198237838774314,0.5416095051971226,5.523827056735307
0,2.0,0.2,65,0.2606976905721205,0.12584751797032107,0.13485017260179943,0.5172664641020053,7.690540451208321
0,2.0,0.2,80,0.25498653484278005,0.12365731327887722,0.13132922156390284,0.5150437517999842,7.529759762337037
0,2.0,0.3,30,0.2870564166184903,0.11529702379095057,0.17175939282753971,0.5983471641249356,4.584706679218797
0,2.0,0.3,50,0.26856006483668304,0.11629832870045753,0.1522617361362255,0.5669559851678582,5.838093153065026
0,2.0,0.3,65,0.25757597642874536,0.12553026585306684,0.13204571057567852,0.5126476172447202,8.230230425251854
0,2.0,0.3,80,0.2519324321309659,0.12299529824533825,0.12893713388562764,0.5117925183153881,7.246235864132274
0,2.0,0.5,30,0.29290768368170317,0.11885522520950058,0.17405245847220258,0.5942229178983978,4.991748531378807
0,2.0,0.5,50,0.25182565482652797,0.11672495469661229,0.13510070012991568,0.5364850544039321,6.430743558101217
0,2.0,0.5,65,0.2536362410908259,0.12550510668419457,0.12813113440663132,0.5051767596601,8.472187217733973
0,2.0,0.5,80,0.24621723107589935,0.12512025396570706,0.1210969771101923,0.49182982271806447,7.873313956630005
0,2.0,0.8,30,0.29456520092092114,0.11818776312715537,0.17637743779376577,0.5987721470232866,5.975398183622092
0,2.0,0.8,50,0.26263457768402676,0.11747079477403317,0.1451637829099936,0.5527215197255512,6.136275281486665
0,2.0,0.8,65,0.26028072285109166,0.12597431489533822,0.13430640795575344,0.5160059741826943,8.742802730361868
0,2.0,0.8,80,0.2581392352130381,0.12417972831765933,0.13395950689537878,0.518942836352731,8.138412238805717
0,2.0,1.0,30,0.29493093309334895,0.11535768294126961,0.17957325015207934,0.6088654325561789,5.595256155055479
0,2.0,1.0,50,0.271983431891386,0.11673253797001597,0.15525089392137004,0.5708101145784792,6.403888498430048
0,2.0,1.0,65,0.26109700957015525,0.12749789328209796,0.1335991162880573,0.5116838239855825,8.18566466708393
0,2.0,1.0,80,0.25420546019093143,0.12397747784896222,0.1302279823419692,0.5122941979458511,7.530176691927538
0,2.0,1.5,30,0.27787114396688145,0.11299717392712752,0.16487397003975393,0.5933468574174968,4.898997560006229
0,2.0,1.5,50,0.27501197391677507,0.11668974820410076,0.1583222257126743,0.5756921179024235,5.909600156083002
0,2.0,1.5,65,0.25771203942099463,0.12398091864887642,0.1337311207721182,0.5189168541468759,6.633568123572703
0,2.0,1.5,80,0.25451942141993256,0.11854066924115274,0.1359787521787798,0.5342568807526399,6.456014976949461
0,3.0,0.2,30,0.29455353162262704,0.11471324927664588,0.17984028234598115,0.6105521171492421,4.859992110830636
0,3.0,0.2,50,0.2692214104254996,0.1164938933178038,0.15272751710769578,0.5672933548127271,6.1507298158052475
